,Speceis Name,optimal temperature,optimal pH,optimal salt concentration
5699,Flavimaricola marinus,30.0,7.5,2.5
5700,Lentimicrobium saccharophilum,33.5,7.0,None
5701,Kordia ulvae,30.0,8.0,2.0
5702,Humibacter soli,30.0,6.0,0.0
5703,Corticibacterium populi,29.0,7.0,None
5704,Comamonas sediminis,32.5,7.1,0.75
5705,Aquaticitalea lipolytica,30.0,7.0,0.75
5706,Altererythrobacter rigui,25.0,7.0,0.0
5707,Cribrihabitans pelagius,30.0,7.0,3.0
5708,Marinomonas atlantica,24.0,8.0,3.0
5709,Marinomonas gallaica,24.0,8.0,3.0
5710,Novosphingobium naphthae,31.0,7.2,0.0
5711,Pseudoruegeria aestuarii,27.5,7.0,2.5
5712,Bradyrhizobium stylosanthis,28.0,6.8,None
5713,Seohaeicola zhoushanensis,30.0,7.2,2.0
5714,Paracoccus aestuariivivens,30.0,7.0,2.0
5715,Rhodobacter sediminis,31.0,7.2,0.25
5716,Ideonella sakaiensis,33.5,7.2,None
5717,Cephaloticoccus primus,37.0,7.0,1.0
5718,Sphingomonas gotjawalisoli,25.0,7.0,0.0
5719,Erythrobacter aquimixticola,30.0,7.5,1.5
5720,Henriciella pelagia,37.0,6.5,1.0
5721,Umboniibacter caenipelagi,30.0,7.2,2.0
5722,Alteromonas aestuariivivens,30.0,7.5,2.0
5723,Roseibium sediminis,32.0,6.0,4.0
5724,Henriciella algicola,30.0,None,6.0
5725,Henriciella barbarensis,30.0,None,5.0
5726,Sphingomonas silvisoli,30.0,7.0,0.0
5727,Defluviimonas nitratireducens,29.0,7.0,2.0
5728,Mesorhizobium oceanicum,35.0,7.0,3.0
5729,Altererythrobacter endophyticus,30.0,7.8,2.0
5730,Altererythrobacter halimionae,30.0,7.2,1.5
5731,Massilia agri,30.0,7.5,0.0
5732,Rhizobium wenxiniae,30.0,7.0,None
5733,Sphingobium naphthae,30.0,7.0,0.0
5734,Pseudomonas reidholzensis,27.5,None,None
5735,Pseudomonas wadenswilerensis,27.5,None,None
5736,Paraphaeobacter pallidus,28.0,6.0,6.0
5737,Sphingomonas crusticola,25.0,6.6,0.0
5738,Sphingomonas palustris,27.5,7.0,0.0
5739,Sphingomonas limnosediminicola,27.5,7.0,0.0
5740,Massilia agilis,32.5,6.5,0.0
5741,Massilia terrae,32.5,7.0,0.0
5742,Massilia solisilvae,32.5,7.0,0.0
5743,Blastomonas fulva,30.0,7.0,None
5744,Paracoccus mangrovi,27.5,6.0,1.5
5745,Aureimonas endophytica,29.0,7.5,0.0
5746,Arenimonas soli,35.0,8.0,0.0
5747,Marinomonas epiphytica,27.5,7.0,2.0
5748,Paracoccus aerius,30.0,8.0,1.0
5749,Bacillus paramycoides,30.0,7.0,0.5
5750,Bacillus nitratireducens,30.0,7.0,0.0
5751,Bacillus proteolyticus,30.0,8.0,0.5
5752,Bacillus luti,30.0,7.0,0.5
5753,Bacillus mobilis,30.0,7.0,0.0
5754,Bacillus albus,30.0,7.0,0.75
5755,Bacillus tropicus,30.0,6.0,0.25
5756,Bacillus pacificus,30.0,6.0,1.0
5757,Bacillus paranthracis,30.0,7.5,1.5
5758,Daejeonia ginsenosidivorans,30.0,6.5,0.25
5759,Adhaeribacter terrae,25.0,7.0,None
5760,Flaviaesturariibacter terrae,25.0,7.0,None
5761,Flavivirga aquimarina,27.5,8.0,3.0
5762,Flavivirga eckloniae,27.5,8.0,3.0
5763,Aliifodinibius salicampi,37.0,8.0,10.0
5764,Nocardia cavernae,28.0,None,None
5765,Nakamurella intestinalis,29.0,7.0,None
5766,Conyzicola nivalis,14.0,7.0,1.0
5767,Cryptosporangium eucalypti,32.5,None,None
5768,Paracoccus hibiscisoli,28.0,7.0,1.0
5769,Novosphingobium fontis,30.0,6.0,0.0
5770,Brachybacterium horti,31.0,7.0,1.0
5771,Belliella buryatensis,31.5,8.2,1.25
5772,Aurantiacicella marina,31.5,7.0,3.0
5773,Arcticiflavibacter luteus,22.5,6.8,1.5
5774,Aquimarina hainanensis,28.0,7.0,3.0
5775,Algoriphagus confluentis,30.0,7.5,1.5
5776,Actinoplanes lichenis,27.0,7.5,None
5777,Tianweitania sediminis,28.0,7.0,None
5778,Thermostilla marina,55.0,7.5,3.0
5779,Tagaea marina,32.5,None,3.0
5780,Salinicola rhizosphaerae,12.5,7.0,12.5
5781,Saccharothrix stipae,28.0,7.5,2.0
5782,Saccharibacillus deserti,25.0,6.0,0.5
5783,Paenibacillus radicis,30.0,7.0,1.0
5784,Paenibacillus nasutitermitis,30.0,7.5,0.0
5785,Novosphingobium colocasiae,20.0,7.5,0.0
5786,Nonomuraea thermotolerans,46.0,8.5,0.5
5787,Massilia violacea,28.0,8.0,0.0
5788,Marivivens donghaensis,32.5,7.5,2.0
5789,Marimicrobium arenosum,30.0,7.5,2.0
5790,Luteimonas pelagia,30.0,7.0,4.0
5791,Luteimonas notoginsengisoli,30.0,7.5,1.0
5792,Lacinutrix gracilariae,28.0,7.0,2.0
5793,Kocuria arsenatis,32.5,6.0,2.0
5794,Hymenobacter monticola,25.0,7.0,None
5795,Halomonas garicola,30.0,7.0,10.0
5796,Flexilinea flocculi,37.0,7.0,0.0
5797,Dissulfurimicrobium hydrothermale,51.0,6.1,None
5798,Confluentibacter lentus,32.5,7.2,1.5
5799,Comamonas piscis,25.0,7.0,0.5
5800,Advenella alkanexedens,30.0,8.5,0.0
5801,Tenacibaculum ascidiaceicola,33.5,7.5,2.5
5802,Streptomyces daqingensis,28.0,7.0,2.0
5803,Sediminivirga luteola,36.0,8.5,1.0
5804,Roseomonas arctica,19.0,6.5,0.0
5805,Pseudomonas populi,37.0,7.5,1.0
5806,Pseudofulvibacter marinus,24.0,7.0,3.0
5807,Pseudahrensia todarodis,25.0,7.0,2.0
5808,Paraclostridium benzoelyticum,32.5,7.5,0.5
5809,Paenibacillus cathormii,33.5,7.0,None
5810,Nioella aestuarii,27.5,7.0,2.0
5811,Gemmobacter straminiformis,25.0,6.0,0.0
5812,Frondibacter mangrovi,30.0,7.0,2.0
5813,Franconibacter daqui,32.5,7.5,1.5
5814,Roseomonas eburnea,30.0,7.0,1.5
5815,Rhizobium acidisoli,28.0,None,None
5816,Psychroflexus salis,22.5,7.2,3.0
5817,Psychroflexus planctonicus,25.0,7.2,3.0
5818,Pseudofulvibacter gastropodicola,25.0,7.5,2.5
5819,Cohnella saccharovorans,30.0,7.0,0.0
5820,Alkalispirochaeta cellulosivorans,34.0,9.8,1.0
5821,Actinopolyspora salinaria,37.0,None,None
5822,Sphingobacterium griseoflavum,30.0,7.2,1.0
5823,Seonamhaeicola algicola,33.5,7.2,2.25
5824,Pseudovibrio stylochi,26.5,7.0,3.0
5825,Pseudoalteromonas aestuariivivens,30.0,7.5,2.5
5826,Planktosalinus lacus,27.5,7.8,2.0
5827,Psychroflexus aestuariivivens,30.0,7.5,2.5
5828,Pseudoroseicyclus aestuarii,30.0,7.5,1.5
5829,Pedobacter humi,26.0,None,None
5830,Paracoccus cavernae,25.0,None,1.0
5831,Rhodococcus humicola,29.0,7.0,0.5
5832,Rhodococcus pedocola,29.0,7.5,1.5
5833,Flavobacterium suaedae,31.5,6.0,4.0
5834,Thalassobaculum fulvum,35.0,6.5,2.0
5835,Maliponia aquimaris,30.0,7.5,2.5
5836,Luteimonas arsenica,30.0,None,None
5837,Flavobacterium tistrianum,27.5,6.5,0.5
5838,Fermentibacillus polygoni,31.5,10.0,0.0
5839,Crenalkalicoccus roseus,45.0,8.0,1.0
5840,Halostella salina,40.0,8.0,20.0
5841,Gramella sediminilitoris,30.0,7.5,3.5
5842,Fulvivirga lutimaris,21.5,7.5,2.5
5843,Flavobacterium tyrosinilyticum,26.0,None,None
5844,Domibacillus antri,28.0,7.2,2.5
5845,Shewanella gelidii,26.0,7.0,2.5
5846,Ventosimonas gracilis,37.0,6.5,0.5
5847,Sphingomonas faucium,28.0,7.0,None
5848,Pseudorhodobacter aquaticus,22.5,7.0,0.0
5849,Pseudorhodobacter sinensis,22.5,7.0,0.0
5850,Undibacterium arcticum,20.0,7.0,0.0
5851,Actibacterium ureilyticum,30.0,7.0,3.0
5852,Streptomyces cerasinus,33.5,7.2,None
5853,Sphingomonas jeddahensis,30.0,None,None
5854,Sphingomonas carri,25.0,7.0,0.0
5855,Saliphagus infecundisoli,37.0,7.2,17.5
5856,Salinifilum proteinilyticum,40.0,7.5,17.5
5857,Ramlibacter rhizophilus,32.5,7.0,1.0
5858,Pseudokineococcus basanitobsidens,28.0,7.5,1.0
5859,Propioniciclava sinopodophylli,29.0,7.0,0.5
5860,Promicromonospora soli,28.0,7.0,None
5861,Pontibacterium granulatum,30.0,7.0,2.0
5862,Polaribacter insulae,25.0,7.5,2.5
5863,Petrothermobacter organivorans,55.0,7.0,2.5
5864,Parasphingopyxis algicola,30.0,7.0,2.0
5865,Parapedobacter lycopersici,29.0,7.5,None
5866,Paralkalibacillus indicireducens,33.0,9.5,7.0
5867,Halobacterium litoreum,35.0,7.0,22.82
5868,Hydrogenophaga aquatica,27.5,7.0,None
5869,Dyella mobilis,26.5,5.8,0.0
5870,Dyella flava,28.0,5.2,0.0
5871,Dyella caseinilytica,26.5,7.2,0.25
5872,Geofilum rhodophaeum,33.0,7.5,None
5873,Butyratibacter algicola,33.0,8.5,3.0
5874,Psychrobacter piechaudii,30.0,None,None
5875,Pigmentiphaga aceris,30.0,None,1.0
5876,Psychrobacter pasteurii,30.0,None,None
5877,Chryseomicrobium deserti,29.0,7.0,0.5
5878,Bacillus endozanthoxylicus,32.0,6.5,0.5
5879,Allobranchiibius huperziae,29.0,7.0,0.0
5880,Algoriphagus marisflavi,30.0,7.5,1.5
5881,Agarilytica rhodophyticola,30.5,8.0,3.0
5882,Agaribacterium haliotis,29.0,None,None
5883,Novosphingobium clariflavum,28.0,7.0,0.0
5884,Lysinimicrobium sediminis,28.0,8.0,None
5885,Amycolatopsis acidiphila,30.0,5.8,0.0
5886,Prauserella oleivorans,45.0,7.0,4.0
5887,Arenivirga flava,26.5,7.5,None
5888,Angustibacter speluncae,30.0,6.5,0.0
5889,Novosphingobium humi,30.0,7.0,None
5890,Spiribacter aquaticus,37.0,8.0,12.5
5891,Roseomonas hibiscisoli,28.0,7.0,1.0
5892,Puia dinghuensis,28.0,4.0,0.0
5893,Verrucosispora endophytica,27.5,9.5,None
5894,Undibacterium amnicola,22.5,7.0,0.0
5895,Spirosoma litoris,25.0,7.0,None
5896,Sphingomonas difficilis,29.0,None,0.0
5897,Sphingomonas jatrophae,29.0,6.5,4.0
5898,Sphingomonas carotinifaciens,29.0,6.5,None
5899,Sphingobium algicola,27.5,None,0.5
5900,Sphingobium paulinellae,27.5,6.5,0.5
5901,Rhodosalinus sediminis,40.0,7.5,7.0
5902,Pedobacter kyonggii,19.0,7.5,0.0
5903,Paenibacillus solanacearum,29.0,6.5,None
5904,Paenibacillus nebraskensis,24.0,7.5,None
5905,Paenibacillus azotifigens,30.0,6.8,None
5906,Massilia neuiana,30.0,9.0,0.0
5907,Maribacter cobaltidurans,30.0,7.0,1.5
5908,Larkinella soli,30.0,6.0,None
5909,Gordonia phthalatica,30.0,7.0,0.0
5910,Bradyrhizobium namibiense,30.0,6.6,None
5911,Aurantimonas aggregata,27.5,7.0,3.0
5912,Actibacterium pelagium,30.0,7.0,3.0
5913,Woeseia oceani,31.5,7.5,2.0
5914,Nocardioides albidus,28.0,7.0,2.0
5915,Methyloterrigena soli,30.0,7.0,None
5916,Massilia putida,30.0,7.0,0.0
5917,Marinobacter aromaticivorans,25.0,7.5,1.0
5918,Lysobacter sediminicola,30.0,7.0,0.0
5919,Lysobacter hankyongensis,30.0,6.5,0.0
5920,Lacimicrobium alkaliphilum,27.5,8.5,4.0
5921,Halorubrum halodurans,37.0,7.1,25.0
5922,Haloarchaeobius baliensis,43.0,6.8,15.21
5923,Flavobacterium paronense,25.0,8.0,1.0
5924,Flavobacterium collinsense,19.0,9.0,0.0
5925,Egibacter rhizosphaerae,32.5,9.5,11.0
5926,Duganella ginsengisoli,30.0,7.0,None
5927,Devosia humi,28.0,6.5,None
5928,Cuniculiplasma divulgatum,38.5,1.1,None
5929,Catenulispora fulva,28.0,7.0,None
5930,Roseovarius atlanticus,26.5,7.0,4.0
5931,Pseudorhodobacter psychrotolerans,17.5,6.8,0.5
5932,Ideonella paludis,25.0,6.0,0.0
5933,Ichthyobacterium seriolicida,26.0,7.2,1.6
5934,Halosiccatus urmianus,45.0,7.5,23.4
5935,Fabivirga thermotolerans,30.0,7.8,0.0
5936,Egicoccus halophilus,30.0,8.5,4.0
5937,Deinococcus actinosclerus,25.0,7.0,None
5938,Rhabdanaerobium thermarum,45.0,7.0,1.5
5939,Ramlibacter monticola,26.0,7.2,None
5940,Ramlibacter alkalitolerans,30.0,7.0,None
5941,Quisquiliibacterium transsilvanicum,27.5,None,0.5
5942,Tenacibaculum agarivorans,28.0,7.0,2.5
5943,Streptomyces kalpinensis,28.0,7.0,1.0
5944,Streptomyces amphotericinicus,28.0,7.0,None
5945,Paraferrimonas haliotis,28.0,7.5,3.5
5946,Oceaniglobus indicus,31.5,7.5,3.5
5947,Nonomuraea glycinis,28.0,7.5,None
5948,Nocardioides immobilis,28.0,None,0.5
5949,Nitrosopumilus maritimus,32.0,7.3,34.5
5950,Nitrincola schmidtii,17.5,8.5,3.5
5951,Nitrincola alkalilacustris,24.0,8.5,3.5
5952,Mucilaginibacter dorajii,22.5,5.8,None
5953,Salinimicrobium soli,30.0,5.5,2.0
5954,Ancylobacter sonchi,25.5,7.8,0.05
5955,Tuwongella immobilis,34.0,7.8,None
5956,Thermomonospora catenispora,52.5,7.5,0.5
5957,Lysobacter silvestris,25.0,6.5,0.0
5958,Lawsonibacter asaccharolyticus,37.0,7.0,None
5959,Ottowia konkukae,30.0,6.5,0.0
5960,Streptomyces roseifaciens,30.0,7.0,None
5961,Pseudomonas asiatica,32.0,7.5,None
5962,Kribbella jiaozuonensis,28.0,7.0,None
5963,Acetivibrio mesophilus,45.0,7.5,None
5964,Nitrosopumilus adriaticus,31.0,7.1,34.0
5965,Roseomonas wenyumeiae,29.0,7.5,None
5966,Actinoplanes sediminis,28.0,7.0,None
5967,Peribacillus alkalitolerans,28.0,8.0,0.0
5968,Pelagibaculum spongiae,21.0,7.5,1.5
5969,Salirhabdus salicampi,35.0,7.0,6.0
5970,Paenibacillus arcticus,20.0,7.0,None
5971,Nonomuraea cavernae,28.0,7.0,None
5972,Lentzea pudingi,28.0,7.5,0.0
5973,Lechevalieria rhizosphaerae,28.0,7.0,None
5974,Kineococcus aureolus,30.0,7.5,None
5975,Izhakiella australiensis,27.5,None,None
5976,Planktotalea lamellibrachiae,26.0,7.0,None
5977,Phenylobacterium deserti,33.5,7.0,None
5978,Neisseria dumasiana,37.0,7.2,None
5979,Gellertiella hungarica,28.5,8.0,0.0
5980,Phaeobacter piscinae,32.0,7.0,None
5981,Thioclava sediminum,37.0,6.5,2.0
5982,Frateuria defendens,28.0,7.0,None
5983,Psychrobacillus lasiicapitis,29.0,7.5,0.0
5984,Mycobacterium grossiae,37.0,None,None
5985,Cytobacillus ciccensis,30.0,7.0,0.0
5986,Gottfriedia solisilvae,30.0,7.0,None
5987,Streptomyces roietensis,32.0,7.5,None
5988,Arthrobacter silviterrae,29.0,7.0,0.0
5989,Acidocella aquatica,28.0,4.5,None
5990,Pseudonocardia lutea,32.5,6.5,2.0
5991,Sphingoaurantiacus polygranulatus,29.0,9.0,1.5
5992,Subsaxibacter arcticus,25.0,7.0,2.0
5993,Corynebacterium gottingense,35.0,None,4.0
5994,Parolsenella catena,37.0,7.0,None
5995,Georgenia deserti,32.5,7.0,None
5996,Marinicrinis lubricantis,32.5,None,1.5
5997,Listeria costaricensis,33.5,None,None
5998,Lactobacillus panisapium,37.0,6.5,0.5
5999,Xylanibacillus composti,37.5,10.0,1.0
6000,Bifidobacterium catulorum,37.0,7.0,None
6001,Microbacterium album,28.0,7.0,None
6002,Alteribacter populi,25.0,8.0,8.0
6003,Bifidobacterium callitrichidarum,45.0,6.5,None
6004,Trichococcus alkaliphilus,25.0,9.0,None
6005,Trichococcus paludicola,25.0,9.0,None
6006,Aminipila butyrica,30.0,6.4,0.0
6007,Actinomadura rhizosphaerae,33.5,6.8,None
6008,Actinomadura barringtoniae,28.0,7.0,None
6009,Frankia irregularis,28.0,6.5,None
6010,Frankia canadensis,28.0,6.5,None
6011,Glycomyces dulcitolivorans,28.0,7.0,None
6012,Sphaerisporangium rhizosphaerae,28.0,7.0,None
6013,Glycomyces sediminimaris,30.0,None,3.75
6014,Glycomyces paridis,29.0,None,None
6015,Glycomyces anabasis,30.0,7.5,5.0
6016,Frankia saprophytica,28.0,None,None
6017,Butyricicoccus porcorum,39.0,6.0,None
6018,Petroclostridium xylanilyticum,50.0,7.5,0.0
6019,Pleomorphochaeta naphthae,37.0,6.9,4.0
6020,Pseudodesulfovibrio hydrargyri,30.0,6.7,1.5
6021,Aestuariimonas insulae,25.0,7.5,2.0
6022,Vibrio fujianensis,30.0,8.0,3.0
6023,Desulfothermobacter acidiphilus,55.0,4.5,None
6024,Methanolobus psychrotolerans,33.5,7.2,0.99
6025,Proteiniborus indolifex,42.5,7.6,None
6026,Desulfovibrio salinus,40.0,6.7,3.0
6027,Ciceribacter azotifigens,30.0,7.0,0.0
6028,Methanonatronarchaeum thermophilum,50.0,9.6,23.4
6029,Thermostaphylospora grisealba,50.0,8.5,None
6030,Roseomonas globiformis,29.0,7.0,None
6031,Nocardia rhizosphaerihabitans,28.0,7.0,2.0
6032,Tritonibacter horizontis,32.5,7.0,3.75
6033,Glycomyces rhizosphaerae,28.0,7.0,None
6034,Streptacidiphilus monticola,28.0,6.0,0.0
6035,Streptomyces tritici,28.0,7.0,0.5
6036,Nocardioides houyundeii,28.0,7.0,None
6037,Shewanella carassii,35.0,None,1.0
6038,Mycobacterium kyogaense,37.0,7.0,None
6039,Desulfonatronum parangueonense,35.0,9.0,0.5
6040,Monoglobus pectinilyticus,35.0,7.2,None
6041,Winogradskyella haliclonae,26.5,7.5,3.0
6042,Edaphobacter lichenicola,25.0,4.9,None
6043,Streptococcus chenjunshii,36.0,7.5,0.5
6044,Methanofervidicoccus abyssi,70.0,6.2,2.25
6045,Citroniella saccharovorans,30.0,6.9,2.0
6046,Litorihabitans aurantiacus,28.0,8.0,None
6047,Nitrosopumilus piranensis,32.0,7.2,37.0
6048,Jiangella rhizosphaerae,28.0,7.0,0.5
6049,Staphylospora marina,57.5,7.0,None
6050,Butyricimonas faecalis,37.0,None,0.9
6051,Streptomyces inhibens,28.0,8.0,None
6052,Anaerobacillus alkaliphilus,26.5,9.5,5.0
6053,Microbacterium ureisolvens,31.0,7.0,1.5
6054,Listeria thailandensis,33.5,None,None
6055,Corynebacterium belfantii,37.0,None,None
6056,Microbacterium halophytorum,28.0,7.0,3.0
6057,Mesosutterella multiformis,37.0,None,None
6058,Sutterella megalosphaeroides,37.0,None,None
6059,Arthrobacter silvisoli,28.0,7.0,0.0
6060,Kyrpidia spormannii,55.0,5.5,None
6061,Prevotella rara,37.0,7.5,None
6062,Indioceanicola profundi,32.5,7.0,1.5
6063,Kribbella monticola,28.0,7.0,None
6064,Megasphaera stantonii,42.0,5.8,None
6065,Rubrobacter indicoceani,28.0,7.0,3.0
6066,Desertimonas flava,28.0,7.0,0.0
6067,Streptomyces durbertensis,28.0,7.0,2.0
6068,Listeria goaensis,33.5,7.0,None
6069,Acidipropionibacterium virtanenii,30.0,None,0.0
6070,Aestuariimicrobium soli,30.0,7.0,0.5
6071,Spirosoma pollinicola,25.0,7.0,None
6072,Peribacillus acanthi,37.0,7.5,0.5
6073,Cohnella kolymensis,28.0,6.5,None
6074,Apilactobacillus micheneri,32.5,6.0,None
6075,Apilactobacillus timberlakei,32.5,5.0,None
6076,Apilactobacillus quenuiae,32.5,5.5,None
6077,Collimonas antrihumi,25.0,6.0,None
6078,Paenibacillus elymi,30.0,7.0,0.5
6079,Carnobacterium antarcticum,30.0,8.2,1.0
6080,Pseudooceanicola lipolyticus,30.0,7.0,3.0
6081,Pseudomonas fluvialis,27.5,7.5,None
6082,Mucilaginibacter amnicola,17.5,6.0,0.5
6083,Thauera propionica,37.0,8.0,1.0
6084,Vicingus serpentipes,25.0,7.8,1.5
6085,Stakelama algicida,30.0,7.0,0.0
6086,Paraburkholderia azotifigens,27.5,7.0,None
6087,Hymenobacter defluvii,27.5,7.0,0.0
6088,Thalassotalea atypica,26.0,None,2.0
6089,Rheinheimera marina,27.5,8.0,2.5
6090,Aestuariicoccus marinus,37.0,7.2,2.0
6091,Corynebacterium godavarianum,37.0,7.0,1.0
6092,Tenacibaculum insulae,25.0,7.5,2.0
6093,Microbacterium deserti,28.0,7.0,None
6094,Bacillus marinisedimentorum,37.0,7.5,2.5
6095,Thalassotalea coralli,27.5,7.5,2.0
6096,Phytobacter ursingii,32.5,7.0,None
6097,Mucilaginibacter panaciglaebae,30.0,7.0,0.0
6098,Sphingomonas colocasiae,27.5,7.0,None
6099,Phenylobacterium hankyongense,27.5,7.0,None
6100,Deinococcus hibisci,27.5,7.0,None
6101,Melaminivora jejuensis,33.5,7.5,0.5
6102,Pseudomonas tarimensis,30.0,7.5,1.0
6103,Porphyrobacter algicida,30.0,9.0,0.0
6104,Ponticoccus marisrubri,31.5,7.2,10.5
6105,Paenibacillus albidus,29.0,7.5,1.0
6106,Oceanibaculum nanhaiense,31.0,None,2.0
6107,Desertibacillus haloalkaliphilus,37.0,9.0,7.5
6108,Deinococcus taklimakanensis,29.0,7.5,0.5
6109,Ciceribacter thiooxidans,37.0,7.5,None
6110,Chitinimonas lacunae,30.0,7.0,None
6111,Caldovatus sediminis,45.0,6.8,0.5
6112,Asprobacter aquaticus,30.0,None,None
6113,Aridibacter nitratireducens,36.5,7.8,0.375
6114,Arenibacter antarcticus,25.0,8.0,2.0
6115,Anoxynatronum buryatiense,30.0,9.6,5.41
6116,Altererythrobacter mangrovi,30.0,7.0,1.25
6117,Aeribacillus composti,60.0,9.0,6.0
6118,Wohlfahrtiimonas populi,28.0,None,1.0
6119,Tenacibaculum aestuariivivum,25.0,7.5,2.0
6120,Sphingomonas agri,30.0,6.8,0.0
6121,Sphingobacterium tabacisoli,30.0,7.0,None
6122,Siccirubricoccus deserti,32.5,7.0,None
6123,Seonamhaeicola marinus,28.0,7.0,3.0
6124,Sediminibacterium roseum,28.0,6.0,None
6125,Salsuginimonas clara,27.5,7.5,0.5
6126,Saccharomonospora colocasiae,31.0,None,None
6127,Sabulilitoribacter arenilitoris,30.0,7.5,2.0
6128,Ruegeria profundi,34.0,7.8,7.31
6129,Ruegeria marisrubri,38.5,7.2,10.24
6130,Roseomonas terricola,35.0,7.0,None
6131,Spirosoma koreense,25.0,7.0,None
6132,Spirosoma flavum,20.0,8.0,0.0
6133,Soonwooa purpurea,30.0,7.0,None
6134,Rurimicrobium arvi,28.5,7.8,0.0
6135,Rhodoplanes tepidicaeni,40.0,7.0,None
6136,Rhodoplanes azumiensis,40.0,7.0,None
6137,Ravibacter arvi,31.0,7.2,0.0
6138,Mangrovitalea sediminis,30.0,6.0,2.5
6139,Floricoccus tropicus,33.5,None,None
6140,Floricoccus penangensis,33.5,None,None
6141,Flavobacterium amniphilum,25.0,6.0,0.0
6142,Colwellia beringensis,11.5,8.8,2.5
6143,Changchengzhania lutea,20.0,7.5,1.5
6144,Streptomyces actinomycinicus,33.5,7.0,None
6145,Rufibacter glacialis,20.0,None,None
6146,Roseomonas elaeocarpi,30.0,6.0,None
6147,Rhodovulum aestuarii,30.0,7.5,3.0
6148,Reinekea marina,30.0,7.0,2.0
6149,Pyruvatibacter mobilis,30.0,7.5,2.0
6150,Pseudorhodobacter collinsensis,22.5,7.0,0.0
6151,Parasediminibacterium paludis,30.0,7.0,0.0
6152,Pelagirhabdus alkalitolerans,37.0,8.8,10.0
6153,Octadecabacter ascidiaceicola,25.0,7.5,2.5
6154,Rhodococcus subtropicus,30.0,7.0,0.0
6155,Leucobacter muris,33.5,7.0,0.5
6156,Deinococcus fonticola,28.0,7.0,0.25
6157,Halalkalibacter urbisdiaboli,30.0,9.0,4.0
6158,Specibacter cremeus,30.0,7.0,0.0
6159,Paraliobacillus zengyii,28.0,7.5,None
6160,Paenibacillus translucens,30.0,None,0.0
6161,Terrimonas soli,30.0,7.0,0.5
6162,Roseomonas fluminis,35.0,7.0,0.5
6163,Ornithinibacillus salinisoli,12.5,8.0,12.5
6164,Colwellia echini,20.0,7.0,3.5
6165,Sphingomonas rhizophila,27.5,7.0,0.0
6166,Roseomonas deserti,32.5,7.2,0.5
6167,Sphingobacterium bovisgrunnientis,37.0,7.0,0.25
6168,Flavobacterium sediminilitoris,30.0,7.5,1.5
6169,Polaribacter staleyi,26.5,7.2,3.5
6170,Planococcus salinus,30.0,9.0,4.0
6171,Larkinella knui,25.0,7.0,0.0
6172,Proteus columbae,37.0,None,1.0
6173,Marinirhabdus citrea,30.0,7.5,2.5
6174,Chryseobacterium salipaludis,35.0,7.0,1.0
6175,Flavobacterium phocarum,20.0,7.2,1.25
6176,Psychrosphaera aquimarina,27.5,7.5,2.5
6177,Methyloterricola oryzae,32.0,None,None
6178,Massilia buxea,29.0,7.0,0.0
6179,Marmoricola endophyticus,29.0,7.0,2.5
6180,Marinobacter salexigens,30.0,7.2,3.0
6181,Kordia zosterae,27.5,7.0,2.5
6182,Hymenobacter gummosus,25.0,7.0,None
6183,Hymenobacter cavernae,15.0,6.0,0.0
6184,Bacteroides kribbi,37.0,6.5,None
6185,Bacteroides koreensis,37.0,None,None
6186,Roseovarius salinarum,33.0,7.5,6.0
6187,Rhodohalobacter barkolensis,37.0,7.5,2.5
6188,Fluviicola kyonggii,27.5,7.5,0.0
6189,Deinococcus aluminii,37.0,None,0.0
6190,Tabrizicola fusiformis,33.5,6.5,None
6191,Streptomyces salilacus,28.0,8.0,1.0
6192,Flavobacterium artemisiae,27.0,7.0,0.0
6193,Altererythrobacter fulvus,27.5,8.0,0.0
6194,Lentzea soli,28.0,7.0,None
6195,Aestuariibius insulae,27.5,7.5,2.0
6196,Flavobacterium cyanobacteriorum,28.0,7.0,0.0
6197,Saccharolobus caldissimus,85.0,3.0,None
6198,Bizionia berychis,25.0,7.5,2.0
6199,Luteimonas rhizosphaerae,30.0,7.8,1.0
6200,Cryobacterium aureum,11.0,None,None
6201,Halomonas saliphila,30.0,8.0,12.5
6202,Salinisphaera aquimarina,30.0,7.0,4.0
6203,Bacillus fermenti,36.5,10.0,0.0
6204,Pedobacter mongoliensis,28.0,7.0,0.0
6205,Jatrophihabitans telluris,25.0,7.0,0.0
6206,Phyllobacterium salinisoli,28.0,7.0,None
6207,Micromonospora globbae,33.5,None,None
6208,Uliginosibacterium sediminicola,25.0,7.0,0.0
6209,Flavisolibacter metallilatus,37.0,6.5,0.5
6210,Flavobacterium kingsejongi,25.0,7.0,6.0
6211,Acinetobacter piscicola,26.5,7.0,0.0
6212,Dokdonia flava,25.0,7.0,4.0
6213,Aquimarina algiphila,26.5,7.5,3.0
6214,Pedobacter agrisoli,30.0,7.0,0.0
6215,Halioglobus lutimaris,28.0,7.8,2.5
6216,Saccharopolyspora deserti,32.5,7.5,7.5
6217,Chryseobacterium glaciei,25.0,6.8,None
6218,Litorimonas haliclonae,27.0,7.5,3.5
6219,Bacillus manusensis,52.5,7.0,3.0
6220,Bacillus kexueae,45.0,7.0,3.0
6221,Flavobacterium ovatum,20.0,7.0,2.0
6222,Actinotalea solisilvae,29.0,7.0,1.0
6223,Euzebyella algicola,31.5,8.2,3.0
6224,Arenibacter catalasegens,22.5,7.8,2.5
6225,Chitinophaga humicola,30.0,7.5,0.0
6226,Epidermidibacterium keratini,25.0,6.0,0.0
